MAKE,MODEL,ODOMETER,PROFIT_MARGIN
Acura,MDX,46065,2782800
Acura,MDX,46287,2549500
Acura,MDX,46315,2046500
Acura,MDX,46376,2001400
Acura,MDX,46405,2860700
Acura,MDX,46583,2499300
Acura,MDX,46597,2846900
Acura,MDX,46768,2429200
Acura,MDX,46880,3625050
Acura,MDX,46890,2577350
Acura,MDX,46917,2675050
Acura,MDX,46932,2652000
Acura,MDX,46971,3588000
Acura,MDX,46994,2140100
Acura,MDX,47226,2530200
Acura,MDX,47619,2552000
Acura,MDX,47727,2601100
Acura,MDX,47755,2319600
Acura,MDX,47944,2601200
Acura,MDX,47979,2601600
Acura,MDX,48092,2781000
Acura,MDX,48176,2175850
Acura,MDX,48463,2409500
Acura,MDX,48548,2572650
Acura,MDX,48751,1946100
Acura,MDX,48763,2378800
Acura,MDX,48971,2882200
Acura,MDX,49064,3050000
Acura,MDX,49087,2722400
Acura,MDX,49470,2620900
Acura,MDX,49509,2369500
Acura,MDX,49517,2699300
Acura,MDX,49543,2124850
Acura,MDX,49578,3128150
Acura,MDX,49590,2926250
Acura,MDX,49673,2600500
Acura,MDX,49796,2398800
Acura,MDX,49904,2400900
Acura,MDX,49991,2429500
Acura,MDX,50026,2623150
Acura,MDX,50151,2574250
Acura,MDX,50292,2800500
Acura,MDX,50384,2754200
Acura,MDX,50505,2160900
Acura,MDX,50557,3446000
Acura,MDX,50633,2650900
Acura,MDX,50681,2841000
Acura,MDX,50778,2109700
Acura,MDX,50938,2531200
Acura,MDX,51196,2669000
Acura,MDX,51387,2449900
Acura,MDX,51485,2350400
Acura,MDX,51567,2588500
Acura,MDX,51713,2989800
Acura,MDX,51770,2690700
Acura,MDX,52095,2699400
Acura,MDX,52167,2410000
Acura,MDX,52173,2509000
Acura,MDX,52274,1877700
Acura,MDX,52288,2149800
Acura,MDX,52308,2626850
Acura,MDX,52309,2599700
Acura,MDX,52396,2719900
Acura,MDX,52438,2155350
Acura,MDX,52570,2701100
Acura,MDX,52622,2426550
Acura,MDX,52920,2800500
Acura,MDX,53063,2493400
Acura,MDX,53115,2440500
Acura,MDX,53489,2400800
Acura,MDX,53646,2378800
Acura,MDX,54074,2591300
Acura,MDX,54171,2396400
Acura,MDX,54202,2460700
Acura,MDX,54552,2649000
Acura,MDX,54661,2379400
Acura,MDX,54864,1567500
Acura,MDX,54887,2419900
Acura,MDX,54956,2692100
Acura,MDX,54983,2490000
Acura,MDX,55050,1939600
Acura,MDX,55192,2861500
Acura,MDX,55202,2499400
Acura,MDX,55310,2750300
Acura,MDX,56042,2080600
Acura,MDX,56160,2310600
Acura,MDX,56168,2199400
Acura,MDX,56433,1851700
Acura,MDX,56499,2690000
Acura,MDX,56513,2370000
Acura,MDX,56610,3000600
Acura,MDX,56625,1751350
Acura,MDX,56770,2470800
Acura,MDX,56798,2790800
Acura,MDX,56866,2497900
Acura,MDX,56923,2390800
Acura,MDX,57025,2360100
Acura,MDX,57031,1914000
Acura,MDX,57085,2061550
Acura,MDX,57265,2070700
Acura,MDX,57340,2911500
Acura,MDX,57438,2277150
Acura,MDX,57731,2583200
Acura,MDX,57859,2781200
Acura,MDX,58028,2229900
Acura,MDX,58030,2491200
Acura,MDX,58089,2700000
Acura,MDX,58105,2500700
Acura,MDX,58451,1730100
Acura,MDX,58456,1912100
Acura,MDX,58689,2704500
Acura,MDX,58774,2548600
Acura,MDX,58890,1758800
Acura,MDX,59002,2639900
Acura,MDX,59419,2748400
Acura,MDX,59591,1203025
Acura,MDX,59777,2852100
Acura,MDX,59865,1780250
Acura,MDX,60166,1997500
Acura,MDX,60302,1961350
Acura,MDX,60570,2249300
Acura,MDX,60603,2348400
Acura,MDX,60606,2499900
Acura,MDX,60912,1447600
Acura,MDX,61431,2049600
Acura,MDX,61486,2725750
Acura,MDX,61496,1131150
Acura,MDX,61805,3244000
Acura,MDX,61917,1919800
Acura,MDX,61996,2219900
Acura,MDX,62090,2149500
Acura,MDX,62466,2223850
Acura,MDX,62547,2149900
Acura,MDX,62733,2350000
Acura,MDX,63134,2198700
Acura,MDX,63217,2551400
Acura,MDX,63226,2002000
Acura,MDX,63266,2299500
Acura,MDX,63371,2000750
Acura,MDX,63377,2016200
Acura,MDX,63463,2827150
Acura,MDX,63638,2195900
Acura,MDX,63714,2301300
Acura,MDX,64246,2360700
Acura,MDX,64757,1853600
Acura,MDX,64881,1943100
Acura,MDX,64960,2100400
Acura,MDX,65277,2360700
Acura,MDX,65397,2168800
Acura,MDX,65478,2049700
Acura,MDX,65536,2228600
Acura,MDX,65682,2624500
Acura,MDX,65819,1860700
Acura,MDX,65824,1900750
Acura,MDX,65891,2249900
Acura,MDX,65893,1709700
Acura,MDX,66009,2448500
Acura,MDX,66043,2350400
Acura,MDX,66401,1775850
Acura,MDX,66532,1211050
Acura,MDX,66552,1372750
Acura,MDX,66663,1398950
Acura,MDX,66717,2551200
Acura,MDX,66913,2640700
Acura,MDX,66996,2375650
Acura,MDX,67178,2601600
Acura,MDX,67425,2277850
Acura,MDX,67644,2503800
Acura,MDX,67691,2603200
Acura,MDX,67970,2401900
Acura,MDX,68542,2381400
Acura,MDX,68546,2481100
Acura,MDX,68676,2452100
